timestamp,frame_number,class_id,class_name,x1,y1,x2,y2,confidence,light_state,violation
20250421_181506,1,2,car,960,536,1207,758,0.9042913317680359,green,NO
20250421_181506,1,3,motorcycle,1126,422,1241,506,0.7724798917770386,green,NO
20250421_181506,1,3,motorcycle,970,878,1151,1093,0.7712322473526001,green,NO
20250421_181506,1,2,car,1416,1116,1598,1198,0.7556924223899841,green,NO
20250421_181506,1,1,bicycle,0,518,105,620,0.7465875744819641,green,NO
20250421_181506,1,3,motorcycle,983,345,1113,426,0.7136936187744141,green,NO
20250421_181506,1,3,motorcycle,226,500,394,612,0.7028922438621521,green,NO
20250421_181506,1,3,motorcycle,445,830,529,948,0.6811913251876831,green,NO
20250421_181506,1,3,motorcycle,578,833,650,952,0.5509293675422668,green,NO
20250421_181506,1,2,car,36,224,81,268,0.5129560828208923,green,NO
20250421_181506,1,2,car,192,196,250,240,0.47429150342941284,green,NO
20250421_181506,2,2,car,980,500,1192,706,0.9160470366477966,green,NO
20250421_181506,2,3,motorcycle,1024,358,1132,429,0.803044855594635,green,NO
20250421_181506,2,3,motorcycle,298,514,463,603,0.775623083114624,green,NO
20250421_181506,2,3,motorcycle,915,352,1018,423,0.7715687155723572,green,NO
20250421_181506,2,3,motorcycle,900,814,1062,1020,0.7555992603302002,green,NO
20250421_181506,2,1,bicycle,14,515,164,615,0.7188954949378967,green,NO
20250421_181506,2,3,motorcycle,418,426,564,526,0.7060377597808838,green,NO
20250421_181506,2,3,motorcycle,442,829,528,947,0.6391889452934265,green,NO
20250421_181506,2,3,motorcycle,591,816,658,932,0.6359393000602722,green,NO
20250421_181506,2,3,motorcycle,364,388,402,444,0.5693691968917847,green,NO
20250421_181506,2,2,car,1196,942,1598,1198,0.5464208722114563,green,NO
20250421_181506,2,3,motorcycle,1185,419,1296,496,0.5158277750015259,green,NO
20250421_181506,2,2,car,36,224,81,268,0.48224979639053345,green,NO
20250421_181506,2,1,bicycle,526,343,569,404,0.45581600069999695,green,NO
20250421_181506,2,2,car,196,173,253,235,0.4206918776035309,green,NO
20250421_181507,3,2,car,998,472,1198,662,0.9161313772201538,green,NO
20250421_181507,3,3,motorcycle,367,503,534,598,0.7910851240158081,green,NO
20250421_181507,3,3,motorcycle,836,355,944,428,0.7323223948478699,green,NO
20250421_181507,3,1,bicycle,134,497,282,601,0.7082038521766663,green,NO
20250421_181507,3,7,truck,1116,824,1598,1198,0.6768949627876282,green,NO
20250421_181507,3,3,motorcycle,442,833,526,948,0.6663875579833984,green,NO
20250421_181507,3,3,motorcycle,563,430,697,515,0.6601579189300537,green,NO
20250421_181507,3,3,motorcycle,0,516,36,578,0.6494908332824707,green,NO
20250421_181507,3,3,motorcycle,596,798,657,917,0.6205014586448669,green,NO
20250421_181507,3,3,motorcycle,371,371,406,425,0.603623628616333,green,NO
20250421_181507,3,3,motorcycle,276,460,336,541,0.582402765750885,green,NO
20250421_181507,3,1,bicycle,1128,344,1214,406,0.5385177731513977,green,NO
20250421_181507,3,3,motorcycle,1129,344,1214,406,0.49705514311790466,green,NO
20250421_181507,3,3,motorcycle,869,796,988,957,0.4885498881340027,green,NO
20250421_181507,3,2,car,197,173,253,232,0.462210476398468,green,NO
20250421_181507,3,3,motorcycle,972,363,1083,433,0.4444969594478607,green,NO
20250421_181507,3,2,car,36,224,81,268,0.44284334778785706,green,NO
20250421_181507,3,2,car,302,177,354,216,0.4096704423427582,green,NO
